Distance_(mm),Gray_Value
6.2839,144.491
6.2975,144.664
6.3110,144.773
6.3246,144.891
6.3382,144.955
6.3518,145.045
6.3653,145.234
6.3789,145.586
6.3925,146.003
6.4060,146.453
6.4196,147.038
6.4332,147.169
6.4468,147.213
6.4603,147.313
6.4739,147.669
6.4875,148.099
6.5011,148.681
6.5146,149.111
6.5282,149.814
6.5418,150.553
6.5553,151.045
6.5689,151.352
6.5825,151.524
6.5961,151.684
6.6096,151.952
6.6232,152.473
6.6368,152.914
6.6503,153.335
6.6639,153.560
6.6775,153.725
6.6911,154.147
6.7046,154.577
6.7182,155.213
6.7318,155.852
6.7453,156.540
6.7589,157.035
6.7725,157.708
6.7861,158.337
6.7996,159.196
6.8132,160.093
6.8268,160.586
6.8404,160.677
6.8539,160.678
6.8675,160.464
6.8811,159.970
6.8946,159.244
6.9082,158.924
6.9218,158.855
6.9354,158.766
6.9489,159.033
6.9625,159.228
6.9761,159.155
6.9896,159.226
7.0032,159.257
7.0168,159.357
7.0304,159.481
7.0439,159.630
7.0575,159.653
7.0711,159.616
7.0847,159.624
7.0982,159.525
7.1118,159.527
7.1254,159.501
7.1389,159.409
7.1525,159.362
7.1661,159.200
7.1797,158.762
7.1932,158.112
7.2068,157.682
7.2204,157.492
7.2339,157.287
7.2475,157.091
7.2611,157.112
7.2747,157.334
7.2882,157.105
7.3018,156.831
7.3154,156.636
7.3290,156.226
7.3425,155.920
7.3561,155.461
7.3697,154.934
7.3832,154.396
7.3968,153.888
7.4104,153.358
7.4240,152.904
7.4375,152.389
7.4511,151.963
7.4647,151.694
7.4782,151.179
7.4918,150.700
7.5054,150.046
7.5190,149.629
7.5325,149.329
7.5461,149.235
7.5597,148.950
7.5732,148.876
7.5868,148.579
7.6004,148.731
7.6140,148.702
7.6275,148.957
7.6411,148.998
7.6547,149.199
7.6683,149.181
7.6818,149.309
7.6954,149.384
7.7090,149.751
7.7225,150.199
7.7361,150.705
7.7497,151.451
7.7633,152.057
7.7768,152.754
7.7904,153.553
7.8040,154.922
7.8175,156.203
7.8311,158.019
7.8447,159.711
7.8583,161.169
7.8718,162.316
7.8854,163.366
7.8990,164.053
7.9126,164.835
7.9261,165.729
7.9397,166.526
7.9533,167.586
7.9668,168.438
7.9804,168.965
7.9940,169.709
8.0076,170.385
8.0211,171.088
8.0347,171.994
8.0483,172.543
8.0618,172.728
8.0754,172.837
8.0890,172.656
8.1026,172.479
8.1161,172.611
8.1297,172.569
8.1433,172.636
8.1569,172.894
8.1704,173.093
8.1840,173.410
8.1976,173.490
8.2111,173.666
8.2247,174.007
8.2383,174.401
8.2519,174.729
8.2654,174.915
8.2790,175.084
8.2926,174.727
8.3061,174.515
8.3197,174.381
8.3333,174.355
8.3469,174.654
8.3604,174.695
8.3740,175.037
8.3876,175.371
8.4011,175.801
8.4147,176.057
8.4283,176.043
8.4419,175.969
8.4554,175.950
8.4690,175.733
8.4826,175.567
8.4962,175.293
8.5097,175.350
8.5233,175.408
8.5369,175.487
8.5504,175.582
8.5640,175.810
8.5776,176.210
8.5912,176.524
8.6047,176.594
8.6183,176.553
8.6319,176.458
8.6454,176.407
8.6590,176.309
8.6726,176.102
8.6862,175.752
8.6997,175.554
8.7133,175.217
8.7269,175.000
8.7405,174.485
8.7540,174.010
8.7676,173.688
8.7812,173.371
8.7947,172.621
8.8083,170.748
8.8219,168.219
8.8355,167.080
8.8490,166.523
8.8626,166.352
8.8762,165.908
8.8897,165.680
8.9033,165.287
8.9169,165.486
8.9305,165.735
8.9440,166.038
8.9576,166.320
8.9712,166.591
8.9848,167.034
8.9983,167.353
9.0119,167.584
9.0255,167.805
9.0390,168.258
9.0526,168.521
9.0662,168.903
9.0798,169.411
9.0933,170.452
9.1069,171.772
9.1205,172.922
9.1340,173.898
9.1476,175.057
9.1612,176.153
9.1748,177.109
9.1883,178.047
9.2019,178.806
9.2155,179.395
9.2290,179.755
9.2426,180.411
9.2562,180.891
9.2698,181.134
9.2833,181.425
9.2969,181.639
9.3105,181.717
9.3241,181.775
9.3376,181.752
9.3512,181.708
9.3648,181.780
9.3783,181.929
9.3919,181.947
9.4055,182.085
9.4191,182.118
9.4326,182.140
9.4462,182.200
9.4598,182.075
9.4733,181.925
9.4869,181.633
9.5005,181.340
9.5141,181.207
9.5276,181.489
9.5412,181.407
9.5548,181.222
9.5684,181.017
9.5819,180.965
9.5955,181.113
9.6091,181.111
9.6226,181.132
9.6362,181.371
9.6498,181.587
9.6634,181.867
9.6769,182.171
9.6905,182.305
9.7041,182.496
9.7176,182.586
9.7312,182.529
9.7448,182.483
9.7584,182.099
9.7719,181.782
9.7855,181.504
9.7991,181.342
9.8127,181.040
9.8262,181.147
9.8398,181.248
9.8534,181.336
9.8669,181.469
9.8805,181.781
9.8941,182.094
9.9077,182.206
9.9212,182.330
9.9348,182.692
9.9484,182.804
9.9619,182.893
9.9755,182.932
9.9891,182.755
10.0027,182.693
10.0162,182.421
10.0298,182.323
10.0434,182.144
10.0569,181.895
10.0705,181.880
10.0841,181.915
10.0977,181.862
10.1112,181.781
10.1248,181.808
10.1384,181.597
10.1520,181.455
10.1655,181.142
10.1791,181.240
10.1927,181.314
10.2062,181.433
10.2198,181.556
10.2334,181.789
10.2470,182.415
10.2605,183.346
10.2741,184.143
10.2877,185.047
10.3012,185.811
10.3148,186.713
10.3284,187.518
10.3420,187.926
10.3555,188.543
10.3691,189.021
10.3827,189.393
10.3963,189.662
10.4098,189.793
10.4234,189.925
10.4370,190.108
10.4505,190.298
10.4641,190.435
10.4777,190.631
10.4913,190.949
10.5048,191.424
10.5184,192.134
10.5320,192.676
10.5455,192.799
10.5591,192.860
10.5727,192.616
10.5863,192.569
10.5998,192.614
10.6134,192.626
10.6270,193.020
10.6406,193.309
10.6541,193.248
10.6677,192.865
10.6813,192.547
10.6948,192.215
10.7084,191.924
10.7220,191.765
10.7356,191.395
10.7491,191.077
10.7627,190.927
10.7763,191.064
10.7898,191.035
10.8034,190.659
10.8170,190.598
10.8306,190.466
10.8441,190.408
10.8577,190.140
10.8713,190.191
10.8848,190.000
10.8984,189.781
10.9120,189.821
10.9256,189.756
10.9391,189.551
10.9527,189.389
10.9663,189.481
10.9799,189.763
10.9934,189.834
11.0070,190.198
11.0206,190.925
11.0341,191.269
11.0477,191.778
11.0613,192.288
11.0749,192.602
11.0884,192.774
11.1020,192.955
11.1156,192.958
11.1291,192.890
11.1427,193.030
11.1563,192.957
11.1699,192.984
11.1834,193.075
11.1970,193.310
11.2106,193.944
11.2242,194.134
11.2377,193.969
11.2513,193.829
11.2649,193.809
11.2784,193.674
11.2920,193.713
11.3056,193.778
11.3192,193.824
11.3327,194.069
11.3463,193.903
11.3599,194.011
11.3734,194.136
11.3870,194.453
11.4006,194.639
11.4142,194.936
11.4277,195.145
11.4413,195.525
11.4549,195.984
11.4685,196.565
11.4820,197.392
11.4956,198.204
11.5092,199.387
11.5227,200.693
11.5363,201.623
11.5499,202.506
11.5635,202.745
11.5770,202.821
11.5906,203.188
11.6042,203.816
11.6177,204.845
11.6313,206.113
11.6449,207.321
11.6585,207.820
11.6720,208.510
11.6856,208.943
11.6992,209.244
11.7128,209.645
11.7263,209.924
11.7399,209.864
11.7535,209.484
11.7670,209.075
11.7806,208.510
11.7942,207.852
11.8078,207.082
11.8213,206.247
11.8349,205.189
11.8485,204.292
11.8620,203.558
11.8756,203.142
11.8892,203.012
11.9028,203.242
11.9163,203.111
11.9299,203.416
11.9435,203.588
11.9570,203.999
11.9706,204.201
11.9842,204.322
11.9978,204.258
12.0113,203.997
12.0249,203.836
12.0385,203.706
12.0521,203.802
12.0656,203.575
12.0792,203.370
12.0928,202.561
12.1063,201.977
12.1199,201.412
12.1335,200.999
12.1471,200.480
12.1606,200.051
12.1742,199.815
12.1878,199.657
12.2013,199.681
12.2149,199.614
12.2285,199.487
12.2421,199.585
12.2556,199.395
12.2692,199.110
12.2828,198.846
12.2964,198.575
12.3099,198.664
12.3235,198.855
12.3371,198.870
12.3506,198.962
12.3642,199.305
12.3778,199.754
12.3914,200.481
12.4049,201.141
12.4185,201.912
12.4321,202.610
12.4456,203.647
12.4592,204.705
12.4728,205.847
12.4864,207.282
12.4999,208.756
12.5135,209.832
12.5271,211.181
12.5407,212.083
12.5542,213.274
12.5678,214.504
12.5814,215.531
12.5949,215.832
12.6085,215.410
12.6221,214.830
12.6357,214.158
