Distance_(mm),Gray_Value
20.9940,209.551
21.0182,210.137
21.0423,210.198
21.0664,209.370
21.0905,208.188
21.1146,207.626
21.1387,207.637
21.1628,208.152
21.1869,208.775
21.2110,209.021
21.2351,209.201
21.2592,208.953
21.2833,208.907
21.3074,208.795
21.3315,208.705
21.3556,208.951
21.3797,208.770
21.4038,208.294
21.4279,207.788
21.4520,208.008
21.4761,208.055
21.5002,208.165
21.5243,208.397
21.5484,208.776
21.5725,209.562
21.5966,209.874
21.6207,210.769
21.6448,211.262
21.6689,211.592
21.6930,211.780
21.7171,212.423
21.7413,212.870
21.7654,213.419
21.7895,213.809
21.8136,214.247
21.8377,214.968
21.8618,215.750
21.8859,216.693
21.9100,217.243
21.9341,217.546
21.9582,217.411
21.9823,216.968
22.0064,216.665
22.0305,216.336
22.0546,216.013
22.0787,215.908
22.1028,216.106
22.1269,216.107
22.1510,216.486
22.1751,217.021
22.1992,217.991
22.2233,218.217
22.2474,217.985
22.2715,217.499
22.2956,217.000
22.3197,217.632
22.3438,219.235
22.3679,220.166
22.3920,219.898
22.4161,218.747
22.4403,217.445
22.4644,216.367
22.4885,216.554
22.5126,216.570
22.5367,216.806
22.5608,216.945
22.5849,217.273
22.6090,217.963
22.6331,218.736
22.6572,219.684
22.6813,220.624
22.7054,221.376
22.7295,222.282
22.7536,223.527
22.7777,225.011
22.8018,226.539
22.8259,227.067
22.8500,227.361
22.8741,227.150
22.8982,226.323
22.9223,225.551
22.9464,225.379
22.9705,225.356
22.9946,225.274
23.0187,224.993
23.0428,224.934
23.0669,225.272
23.0910,225.321
23.1151,225.514
23.1392,225.724
23.1634,225.829
23.1875,225.987
23.2116,226.114
23.2357,226.086
23.2598,226.087
23.2839,226.511
23.3080,227.246
23.3321,227.706
23.3562,227.440
23.3803,227.603
23.4044,228.595
23.4285,229.775
23.4526,230.931
23.4767,231.124
23.5008,230.492
23.5249,229.925
23.5490,228.902
23.5731,228.404
23.5972,228.093
23.6213,227.425
23.6454,227.364
23.6695,227.493
23.6936,228.055
23.7177,228.627
23.7418,229.534
23.7659,230.328
23.7900,230.456
23.8141,230.933
23.8382,231.513
23.8624,231.526
23.8865,231.692
23.9106,231.854
23.9347,231.876
23.9588,231.863
23.9829,232.392
24.0070,233.182
24.0311,234.209
24.0552,235.210
24.0793,236.093
24.1034,236.758
24.1275,236.985
24.1516,236.018
24.1757,235.495
24.1998,234.784
24.2239,234.466
24.2480,233.940
24.2721,233.425
24.2962,232.817
24.3203,232.720
24.3444,232.583
24.3685,232.581
24.3926,232.584
24.4167,232.995
24.4408,233.557
24.4649,234.318
24.4890,234.949
24.5131,235.638
24.5372,236.498
24.5613,237.538
24.5855,238.387
24.6096,239.034
24.6337,239.392
24.6578,239.938
24.6819,240.873
24.7060,241.775
24.7301,242.008
24.7542,241.649
24.7783,241.192
24.8024,240.749
24.8265,240.113
24.8506,239.507
24.8747,239.387
24.8988,239.546
24.9229,240.194
24.9470,241.051
24.9711,241.805
24.9952,242.172
25.0193,241.931
25.0434,241.827
25.0675,242.094
25.0916,242.539
25.1157,242.987
25.1398,244.058
25.1639,245.185
25.1880,246.067
25.2121,246.325
25.2362,246.216
25.2603,245.883
25.2845,244.784
25.3086,243.010
25.3327,241.384
25.3568,239.830
25.3809,238.455
25.4050,237.585
25.4291,237.489
25.4532,238.132
25.4773,239.512
25.5014,240.862
25.5255,241.584
25.5496,241.877
25.5737,241.585
25.5978,241.119
25.6219,241.359
25.6460,241.902
25.6701,242.568
25.6942,243.417
25.7183,244.169
25.7424,244.761
25.7665,245.647
25.7906,246.551
25.8147,246.779
25.8388,246.433
25.8629,245.819
25.8870,245.641
25.9111,245.394
25.9352,244.069
25.9593,243.198
25.9834,243.291
26.0076,243.904
26.0317,244.400
26.0558,245.206
26.0799,245.243
26.1040,244.592
26.1281,243.945
26.1522,242.641
26.1763,240.909
26.2004,240.314
26.2245,241.604
26.2486,243.571
26.2727,243.675
26.2968,242.451
26.3209,241.658
26.3450,241.279
26.3691,240.938
26.3932,240.555
26.4173,239.793
26.4414,239.370
26.4655,238.846
26.4896,238.796
26.5137,239.068
26.5378,239.428
26.5619,239.665
26.5860,240.049
26.6101,239.530
26.6342,239.787
26.6583,240.700
26.6824,241.380
26.7066,241.805
26.7307,241.574
26.7548,240.000
26.7789,239.700
26.8030,240.109
26.8271,240.216
26.8512,241.814
26.8753,243.219
26.8994,242.268
26.9235,239.901
26.9476,239.528
26.9717,240.013
26.9958,240.251
27.0199,240.669
27.0440,241.310
27.0681,241.489
27.0922,242.303
27.1163,242.205
27.1404,241.138
27.1645,241.404
27.1886,241.558
27.2127,241.125
27.2368,240.554
27.2609,241.335
27.2850,241.348
27.3091,240.680
27.3332,239.815
27.3573,239.174
27.3814,239.730
27.4055,239.854
27.4297,238.512
27.4538,237.314
27.4779,236.837
27.5020,237.995
27.5261,238.851
27.5502,239.545
27.5743,239.822
27.5984,240.041
27.6225,242.667
27.6466,245.589
27.6707,245.635
27.6948,245.555
27.7189,247.584
27.7430,247.253
27.7671,246.755
27.7912,247.426
27.8153,248.593
27.8394,248.892
27.8635,249.028
27.8876,248.643
27.9117,248.247
27.9358,249.493
27.9599,251.393
27.9840,252.968
28.0081,253.381
28.0322,253.149
28.0563,253.499
28.0804,254.144
28.1045,254.488
28.1286,254.626
28.1528,254.760
28.1769,254.754
28.2010,254.772
28.2251,254.824
28.2492,254.861
28.2733,254.937
28.2974,254.982
28.3215,254.998
28.3456,254.966
28.3697,254.918
28.3938,254.921
28.4179,254.924
28.4420,254.935
28.4661,254.985
28.4902,254.998
28.5143,255.000
28.5384,255.000
28.5625,255.000
28.5866,255.000
28.6107,255.000
28.6348,255.000
28.6589,255.000
28.6830,255.000
28.7071,255.000
28.7312,255.000
28.7553,255.000
28.7794,255.000
28.8035,255.000
28.8276,255.000
28.8518,255.000
28.8759,255.000
28.9000,255.000
28.9241,255.000
28.9482,255.000
28.9723,255.000
28.9964,255.000
29.0205,255.000
29.0446,255.000
29.0687,255.000
29.0928,255.000
29.1169,255.000
29.1410,255.000
29.1651,255.000
29.1892,255.000
29.2133,254.988
29.2374,254.857
29.2615,254.917
29.2856,254.893
29.3097,254.902
29.3338,254.880
29.3579,254.806
29.3820,254.850
29.4061,254.870
29.4302,254.894
29.4543,254.945
29.4784,254.947
29.5025,254.944
29.5266,254.987
29.5507,254.998
29.5749,255.000
29.5990,255.000
29.6231,254.998
29.6472,254.961
29.6713,254.959
29.6954,254.959
29.7195,254.959
29.7436,254.959
29.7677,254.959
29.7918,254.959
29.8159,254.964
29.8400,255.000
29.8641,255.000
29.8882,255.000
29.9123,255.000
29.9364,255.000
29.9605,255.000
29.9846,254.972
30.0087,254.920
30.0328,254.791
30.0569,254.869
30.0810,254.836
30.1051,254.650
30.1292,254.565
30.1533,254.369
30.1774,254.045
30.2015,253.163
30.2256,251.997
30.2497,252.442
30.2739,253.177
30.2980,253.570
30.3221,254.035
30.3462,254.320
30.3703,254.445
30.3944,254.479
30.4185,254.228
30.4426,253.847
30.4667,253.550
30.4908,253.497
30.5149,253.101
30.5390,251.754
30.5631,248.913
30.5872,248.568
30.6113,249.292
30.6354,249.315
30.6595,248.524
30.6836,245.993
30.7077,245.359
30.7318,245.932
30.7559,245.975
30.7800,245.282
30.8041,244.421
30.8282,243.522
30.8523,241.686
30.8764,240.338
30.9005,240.757
30.9246,241.406
30.9487,241.187
30.9728,239.903
30.9970,239.357
31.0211,240.428
31.0452,240.759
31.0693,239.555
31.0934,237.298
31.1175,236.184
31.1416,237.375
31.1657,238.312
31.1898,238.072
31.2139,237.740
31.2380,238.017
31.2621,239.623
31.2862,240.187
31.3103,241.315
31.3344,241.184
31.3585,240.305
31.3826,239.440
31.4067,240.420
31.4308,241.776
31.4549,242.177
31.4790,242.232
31.5031,241.922
31.5272,241.913
31.5513,240.419
31.5754,238.155
31.5995,235.977
31.6236,235.535
31.6477,236.068
31.6718,238.695
31.6959,242.356
31.7201,244.341
31.7442,243.519
31.7683,240.788
31.7924,238.439
31.8165,237.674
31.8406,236.713
31.8647,237.258
31.8888,240.490
31.9129,242.822
31.9370,242.923
31.9611,242.538
31.9852,241.607
32.0093,239.599
32.0334,237.658
32.0575,237.389
32.0816,236.600
32.1057,236.697
32.1298,238.061
32.1539,240.538
32.1780,242.434
32.2021,242.824
32.2262,242.716
32.2503,241.751
32.2744,240.680
32.2985,239.821
